Authors,Title,Year,Author Keywords,Abstract,Document Type,ID
"Kandasamy K., Srinivas S., Achuthan K., Rangan V.P.","IoT cyber risk: a holistic analysis of cyber risk assessment frameworks, risk vectors, and risk ranking process",2020.0,Cybersecurity risk assessment frameworks; Internet of Medical Things; Risk assessment; Risk rank; Risk vectors,"Security vulnerabilities of the modern Internet of Things (IoT) systems are unique, mainly due to the complexity and heterogeneity of the technology and data. The risks born out of these IoT systems cannot easily fit into an existing risk framework. There are many cybersecurity risk assessment approaches and frameworks that are under deployment in many governmental and commercial organizations. Extending these existing frameworks to IoT systems alone will not address the new risks that have arisen in the IoT ecosystem. This study has included a review of existing popular cyber risk assessment methodologies and their suitability to IoT systems. National Institute of Standards and Technology, Operationally Critical Threat, Asset, and Vulnerability Evaluation, Threat Assessment & Remediation Analysis, and International Standards Organization are the four main frameworks critically analyzed in this research study. IoT risks are presented and reviewed in terms of the IoT risk category and impacted industries. IoT systems in financial technology and healthcare are dealt with in detail, given their high-risk exposure. Risk vectors for IoT and the Internet of Medical Things (IoMT) are discussed in this study. A unique risk ranking method to rank and quantify IoT risk is introduced in this study. This ranking method initiates a risk assessment approach exclusively for IoT systems by quantifying IoT risk vectors, leading to effective risk mitigation strategies and techniques. A unique computational approach to calculate the cyber risk for IoT systems with IoT-specific impact factors has been designed and explained in the context of IoMT systems. © 2020, The Author(s).",Article,2-s2.0-85085376319
"Kimani D., Adams K., Attah-Boakye R., Ullah S., Frecknall-Hughes J., Kim J.","Blockchain, business and the fourth industrial revolution: Whence, whither, wherefore and how?",2020.0,Blockchain; Business functions; Fintech; Fourth industrial revolution; Technological innovations,"Blockchain is one the most remarkable technological innovations of the 21st century. The most notable application of blockchain is in the development and operation of cryptocurrencies (e.g. bitcoin, ethereum, among others). Besides the financial services industry, blockchain is also considered in other sectors such as international trade, taxation, supply chain management, business operations and governance. However, blockchain has not been examined comprehensively in all areas of relevant literature. This article conducts a survey of the literature to gain an understanding of the opportunities and issues presented by blockchain in various business functions. The article begins by providing a discussion regarding how the blockchain technology operates. The paper takes a broad focus in its analysis of the prospects of blockchain for various business functions, including banking and the capital markets, corporate governance, international trade, and taxation. The paper demonstrates how organisations and regulators can leverage blockchain to upscale business operations, enhance efficiency and reduce operational costs. The key drawbacks of blockchain that stakeholders need to bear in mind before adopting the technology are also highlighted. The article also reflects on how organisations can tap into blockchain to reap the full potential of the fourth industrial revolution. © 2020 Elsevier Inc.",Article,2-s2.0-85089898912
"Petri I., Barati M., Rezgui Y., Rana O.F.",Blockchain for energy sharing and trading in distributed prosumer communities,2020.0,Blockchain; Cost; Energy communities; Fish industries; Smart contracts,"The decentralisation of energy supply and demand can contribute decisively to protecting the environment and climate of the planet by consuming electricity in the proximity of the generation source and avoiding losses in transmission and distribution. Supporting energy transactions with emerging intelligent technologies can advance the development of energy communities and accelerate the integration of renewable sources. Distributed energy solutions play an essential role as they are explicitly designed to produce, store and deliver green energy. Profiting with these benefits is essential, especially in the context of the current debate on stopping climate change. Several technologies such as waste heat recovery with intelligent algorithms can improve the energy distribution and provide significant resource savings. On the other hand, the usage of Blockchain technology in energy markets promises to incentivise the use of renewables and provide a reliable framework to monitor real-time information of energy production and consumption. Blockchain can also enable trading between independent agents and lead to the formation of more secured energy communities. In this paper, we demonstrate how Blockchain can be utilised to support the formation and use of energy communities. We propose a Blockchain-based energy framework as a mean to support energy exchanges in a community of prosumers. We demonstrate how smart contracts can manage energy transactions and enable a more secured trading environment between consumers and producers. We utilise data and models from a real fish processing industrial site in Milford Haven Port, South Wales, based on which we validate our research hypothesis. © 2020 Elsevier B.V.",Article,2-s2.0-85089433043
"Ren Y., Zhao Q., Guan H., Lin Z.",A novel authentication scheme based on edge computing for blockchain-based distributed energy trading system,2020.0,Authentication scheme; Blockchain; Consensus; Edge computing; Energy trading system,"Distributed energy trading system is a new business model of energy industry. Applying blockchain technology, energy supply contracts can be communicated directly between producers and consumers. However, blockchain is without any identity authentication and legitimate user identities are possibly forged if there is not any user identity authentication procedure in a trading system. In this paper, we design an authentication scheme for blockchain-based energy trading systems by using edge computing, including journalizing processes, registration, and identity authentication. In our scheme, each node has computing power, which can ensure the meter data can be processed locally or on the edge. In addition, the correctness and security analysis of the scheme are also given in this paper. The analysis shows that our scheme is unforgeability and can protect users’ privacy. © 2020, The Author(s).",Article,2-s2.0-85088981469
"Li W., Mei F.",Asset returns in deep learning methods: An empirical analysis on SSE 50 and CSI 300,2020.0,Artificial intelligence; Asset pricing; Asset return; Big data; Deep frontier; Deep learning; Finance; Fintech; Hidden layer; Machine learning; Neural network; SSE 50 Index; Volatility,"In the field of finance, the application of deep learning methods to asset returns can yield more intuitive results than those derived using standard methods. We use the daily returns from the Shanghai Stock Exchange (SSE) 50 and China Security Index (CSI) 300 Index in the Chinese stock market to compare both standard linear methods (ordinary least squares, stepwise regression, principal components regression (PCR), elastic net (ENet)) and deep learning neural network (NN) methods with one, two, and three hidden layers (NN1, NN2, and NN3, respectively) from January 2012 to December 2017. We show that for both SSE 50 and CSI 300 indices, not all NN models outperform linear models in terms of out-out-of-sample Roos2 values in the 2017 test dataset. However, the NN models with one and three hidden layers do not outperform the classical PCR model in terms of out-of-sample Ros2 values for the SSE 50 Index, whereas all the deep learning methods outperform the traditional models for the CSI 300 Index. The NN model with two hidden layers performs the best in terms of the out-out-of-sample R2 values for the CSI 300 Index. In the out-out-of-sample dataset, NN3 performs poorly for both SSE 50 and CSI 300 indices, while the deepest NNs are not the best performing. © 2020 Elsevier B.V.",Article,2-s2.0-85088132700
"Huang J., Chai J., Cho S.",Deep learning in finance and banking: A literature review and classification,2020.0,Banking; Deep learning; Finance; Fintech; Literature review,"Deep learning has been widely applied in computer vision, natural language processing, and audio-visual recognition. The overwhelming success of deep learning as a data processing technique has sparked the interest of the research community. Given the proliferation of Fintech in recent years, the use of deep learning in finance and banking services has become prevalent. However, a detailed survey of the applications of deep learning in finance and banking is lacking in the existing literature. This study surveys and analyzes the literature on the application of deep learning models in the key finance and banking domains to provide a systematic evaluation of the model preprocessing, input data, and model evaluation. Finally, we discuss three aspects that could affect the outcomes of financial deep learning models. This study provides academics and practitioners with insight and direction on the state-of-the-art of the application of deep learning models in finance and banking. © 2020, The Author(s).",Review,2-s2.0-85086037904
"Morrison G., Marcotte D.",Looking to the future of commerce: retail transformation as connected consumers embrace smart homes and smart stores,2020.0,Alibaba; Amazon; Artificial intelligence (AI); Connected consumer; Data; Digital transformation; FinTech; Frictionless transactions; Future store; Grocery channel; Motion sensors; Retail operations; Robotics; Shopping in the future; Smart homes; Voice technologies,"Retail has undergone disruption every 10 years on average owing to economics, format innovation, and, most recently, technology transformation.We envision this landscape will go far beyond the shift towards e-commerce.This paper reviews technology of the future that will affect the industry, with predictions of how consumers will be likely to adapt. It is informed by extensive fieldwork throughout the world1, 2 and the authors’ combined experience in retail and technology. Beyond commerce, we see all industries facing a future of transformation. But retailers have historically coped with disruption, and we believe the dramatic pace of changes and opportunity facing them can be a playbook for executives in all businesses. Retailers have to operate 24/7, 365 days a year — at full speed and with narrow margins. An immense challenge is making step changes while not simply discarding existing mission-critical infrastructure.The retail industry will enter this unknown future with existing systems that must become far more effective with incremental technology, digitally enhanced employees and pervasive data management across the whole organisation. In other words, they must operate with the capabilities they have for today while transforming for tomorrow.This becomes more complex as smart homes, smart stores and connected cities advance. © HENRY STEWART PUBLICATIONS.",Review,2-s2.0-85081303277
Pooley H.,Why banks are missing an opportunity to capture the lucrative small and medium enterprise market,2020.0,Banking; FinTech; Payments; Small and medium enter-prises; SMEs,"This paper provides insight into the current small and medium enterprise (SME) and banking landscapes, exploring the challenges both face, and the strained relationship between the two, before advising on methods through which this relationship could be improved. The paper goes on to explore how FinTech firms could play an instrumental role in the evolving rela-tionships between banks and SMEs, and then outlines four routes that banks could explore to take advantage of this highly lucrative market sector: invest in their own FinTech; develop their own technology; partner with FinTechs; or build an open banking ecosystem. The paper concludes that banks tend to take a pragmatic approach to problem-solving so are likely to use a combina-tion of the proposed solutions and enlist the help of multiple providers. In this way, banks will be able to capitalise on the opportunities associated with SMEs and keep up with the rapid pace of change within both the banking industry and society as a whole. © Henry Stewart Publications.",Article,2-s2.0-85079060981
"Alaassar A., Mention A.-L., Aas T.H.",Exploring how social interactions influence regulators and innovators: The case of regulatory sandboxes,2020.0,Entrepreneurial finance; Financial technology (FinTech); Incubation model; Regulator-regulatee social interaction; Regulatory sandbox,"Like incubators, regulatory sandboxes constitute a prominent mechanism to enable entrepreneurial activities that guide financial technology (FinTech) firms through regulatory frameworks in the financial industry. Because they are new, there is a lack of research on regulatory sandboxes; most studies have investigated legal aspects while overlooking the management perspective. To address this gap, this paper builds on incubation research studies to explore how social interactions within regulatory sandboxes influence the practices of regulators and regulatees, using social capital theory. An exploratory-abductive approach is adopted, using data collected from 16 semi-structured interviews. The findings indicate that regulator-regulatee social interactions increase the legitimacy, risk management capabilities, and knowledge of regulatory frameworks among regulatees and, as to regulators, increase their understanding of regulatory constraints and potential risks in enabling technologies, better inform them of regulatees’ support needs, and offer them early access to regulatory innovations. The findings also reveal that the practices of regulators and regulatees may be negatively affected due to lowered trust and discrepancies in expectations and underlying goals. This research contributes to the incubation literature by focusing on the micro and meso levels of knowledge exchange and the entrepreneurial finance literature by promoting the role of incubation models. © 2020 The Author(s)",Article,2-s2.0-85089574443
"Chalvatzis C., Hristu-Varsakelis D.",High-performance stock index trading via neural networks and trees,2020.0,Automatic trading; Deep learning; Finance; LSTM; Stock prediction,"Automated asset trading typically involves a price prediction model – of as high an accuracy as possible – together with a trading strategy, sometimes as simple as buying or selling when the price is predicted to rise or fall, respectively. Despite the fact that the model's effectiveness in generating profits may depend on the particular trading strategy it is used with, these two components are often designed separately, in part because of the difficulty involved in jointly optimizing them. Motivated by this interplay between model performance and trading strategy, this work presents a novel automated trading architecture in which the prediction model is tuned to enhance profitability instead of accuracy, while the trading strategy attempts to be more sophisticated in its use of the model's price predictions. In particular, instead of acting simply on whether the price is predicted to rise or fall we show that there is value in taking advantage of the model-specific distribution of predicted returns, and the fact that a prediction's position within that distribution carries useful information about the expected profitability of a trade. Our proposed approach was tested with tree-based models as well as one deep long short-term memory (LSTM) neural networks, all of which were kept structurally simple and generated predictions based on price observations over a modest number of trading days. Tested over the period 2010–2019 on the S&P 500, Dow Jones Industrial Average (DJIA), NASDAQ and Russell 2000 stock indices, and our best overall model achieved cumulative returns of 350%, 403%, 497% and 333%, respectively, outperforming the benchmark buy-and-hold strategy as well as other recent efforts. © 2020 Elsevier B.V.",Review,2-s2.0-85088902625
Yuen T.H.,"PAChain: Private, authenticated & auditable consortium blockchain and its implementation",2020.0,Blockchain; Privacy,"Blockchain provides a distributed ledger recording a globally agreed, immutable transaction history, which may not be suitable for Fintech applications that process sensitive information. This paper aims to solve three important problems for practical blockchain applications: privacy, authentication and auditability. Private transaction means that the transaction can be validated without revealing the transaction details, such as the identity of the transacting parties and the transaction amount. Auditable transaction means that the complete transaction details can be revealed by auditors or law enforcement agencies. Authenticated transaction means that only authorized parties can be involved in the transaction. Auditability prevents a malicious user from abusing the privacy property. Authenticity helps the auditor to trace the identity of the malicious user in the system. In this paper, we present a private, authenticated and auditable consortium blockchain, using a number of cryptographic building blocks. Our scheme can be integrated with the architecture of consortium blockchain. © 2020 Elsevier B.V.",Article,2-s2.0-85087104248
Schinckus C.,"The good, the bad and the ugly: An overview of the sustainability of blockchain technology",2020.0,Blockchain; FinTech; Innovation; Mining industry; Proof-of-Work,"Blockchain is a buzzword describing the current excitement for an innovative technology that could change and disrupt major industries and economic sectors. Blockchain technology has the promise to change all existing business models and make financial services cheaper contributing therefore to a better financial inclusion and, even a better economic wealth distribution. Numerous studies optimistically praise such potential societal benefits by listing all processes that could be optimized through this technology. However, the picture is not necessary all bright. Blockchain can indeed disrupt and significantly improve our societies but there still exist some societal costs in the way this technology is implemented. This paper provides a perspective overviewing of the current trends related to the development of the most widely used implementation of blockchain technology based on the proof-of-work consensus algorithm. These trends will be discussed in three steps: the ‘Good Blockchain’ overviews how this technology can improve our societies; the ‘Bad blockchain’ offers a more nuanced perspective by discussing the potential polluting activities generated by some mining activities. Finally, the ‘Ugly blockchain’ investigates how this technology might generate a risk of concentration in the mining industry affecting therefore the nature and even the existence of the blockchain technology. © 2020",Article,2-s2.0-85085938564
Zhang D.,The Innovation Research of Contract Farming Financing Mode under the Block Chain Technology,2020.0,Agricultural value chain financing; Block chain technology; Direct financing; Innovation model,"As one of the most promising technologies in the new round of fintech revolution, block chain technology has a broad application prospect. It is of great significance to apply the block chain technology in the field of financial support to agriculture and effectively improve the effect of financial support to agriculture for rural revitalization strategy. The purpose of this paper is to build a block chain supported agricultural financing solution for orders based on the analysis of the development status and existing problems of agricultural financing for orders. Through the construction and business development of the agricultural financing business scenario of placing orders in the block chain system, it is believed that the block chain technology has a great breakthrough in improving the credit system, improving the information asymmetry, building a smooth information transmission channel, improving the transaction reliability, improving the efficiency and reducing the cost of the traditional agricultural financing of orders. Finally, based on the research results, relevant policy Suggestions are put forward for the development of agricultural financing under the block chain technology. In view of the two agricultural enterprises studied in this paper, the annual net profit growth rate is above 2.3%, and the feasibility of innovative financing mode is judged, and corresponding policy Suggestions are put forward to optimize the financing mode of agricultural value chain for the risks existing in the current financing of agricultural value chain. © 2020 Elsevier Ltd",Article,2-s2.0-85086598520
"Ali O., Ally M., Clutterbuck, Dwivedi Y.",The state of play of blockchain technology in the financial services sector: A systematic literature review,2020.0,Blockchain benefits; Blockchain challenges; Blockchain functionality; Blockchain technology; Financial technologies,"The modern trends of digitalization have completely transformed and reshaped business practices, whole businesses, and even a number of industries. Blockchain technology is believed to be the latest advancement in industries such as the financial sector, where trust is of prime significance. Blockchain technology is a decentralized and coded security system which provides the capability for new digital services and platforms to be created through this emerging technology. This research presents a systematic review of scholarly articles on blockchain technology in the financial sector. We commenced by considering 227 articles and subsequently filtered this list down to 87 articles. From this, we present a classification framework that has three dimensions: blockchain-enabled financial benefits, challenges, and functionality. This research identifies implications for future research and practice within the blockchain paradigm. © 2020 Elsevier Ltd",Review,2-s2.0-85088394523
"Li J., Li J., Zhu X., Yao Y., Casu B.",Risk spillovers between FinTech and traditional financial institutions: Evidence from the U.S.,2020.0,Financial risk; Financial stability; Financial technology (FinTech); Risk spillover; Systemic risk,"In this paper, we propose a novel approach to examine the risk spillovers between FinTech firms and traditional financial institutions, during a time of fast technological advances. Based on the stock returns of U.S. financial and FinTech institutions, we estimate pairwise risk spillovers by using the Granger causality test across quantiles. We consider the whole distribution: the left tail (bearish case), the right tail (bullish case) and the center of the distribution and construct three types of spillover networks (downside-to-downside, upside-to-upside, and center-to-center) and obtain network-based spillover indicators. We find that linkages in the network are stronger in the bearish case when the risk of spillover is higher. FinTech institutions' risk spillover to financial institutions positively correlates with financial institutions' increase in systemic risk. These results have important policy implications, as they underscore the importance of enhancing the supervision and regulation of FinTech companies, to maintain financial stability. © 2020 Elsevier Inc.",Article,2-s2.0-85087340953
"Abdullah N., Redzuan F., Daud N.A.",E-wallet: Factors influencing user acceptance towards cashless society in Malaysia among public universities,2020.0,Cashless society e-wallet,"The evolution of financial technology into digital payment has led to a new era of cashless society. In line with the global trend, the Malaysian Government has been committed to strengthen the agenda of a cashless society by actively promoting the use of e-Wallet through the establishment of the Interoperable Credit Transfer Framework (ICTF) policy in 2018. Although e-Wallet has been implemented since 2016, several previous studies have found that the level of acceptance is still relatively low while the main factors that influence the acceptance of e-Wallet in Malaysia still remain unclear. This study aims to identify the factors that influence the acceptance of e-Wallet towards establishing cashless society in Malaysia. Online survey using closed-ended questionnaires have been conducted among 400 respondents from students and employees of Malaysian public universities in Klang Valley. Collected data have been analyzed using descriptive statistics and inferential statistics which consist of Factor Analysis, Pearson Correlation and Multiple Linear Regression in Statistical Package for the Social Sciences (SPSS). Based on the findings, four factors are found to significantly influence e-wallet acceptance, which consist of Performance Expectancy (PE), Social Influence (SI), Facilitating Conditions (FC) and Trust (T). Facilitating Conditions (FC) is the most influential significant factor behind the acceptance of e-wallet among Malaysians. © 2020 Institute of Advanced Engineering and Science. All rights reserved.",Article,2-s2.0-85088259917
"Polasik M., Huterska A., Iftikhar R., Mikula Š.",The impact of Payment Services Directive 2 on the PayTech sector development in Europe,2020.0,Financial regulation; FinTech; Payment innovation; Payment services; PayTech; PSD2,"The implementation of Payment Services Directive 2 (PSD2) has radically changed the regulatory environment for providing payment services in the European Economic Area. The main objective of the study is to determine the impact of PSD2 on the number of newly established PayTech companies. The second objective is to explain the factors driving the distribution of PSD2-licensed entities across the European Union countries. The difference-in-difference method and the Poisson regression model served our empirical analysis. The results show that the adoption of PSD2 in November 2015 caused a rapid but temporary surge in PayTech start-ups in Europe. After national transpositions of the directive, the number of new entrants fell in 2018; however, it remained at a higher level than before the adoption of PSD2, which indicates its positive impact. The analysis has proved that market potential, the characteristics of payment systems, including the popularity of payment cards, and the public environment for FinTech start-ups provided by the authorities significantly affected the number of PSD2 licences issued. The introduction of the PSD2 has made the size of the domestic market play a smaller role, as PayTechs can operate on a pan-European level also while based in a smaller country. The importance of an open business environment has increased and offering regulatory sandboxes has proven to effectively support the development of the PayTech sector. © 2020 The Author(s)",Article,2-s2.0-85089414178
"Cheng M., Qu Y.",Does bank FinTech reduce credit risk? Evidence from China,2020.0,Bank FinTech; China; Commercial banks; Credit risk,"Using data from Chinese commercial banks between 2008 and 2017, this paper explores the effects of bank FinTech on credit risk. We first construct and measure a bank FinTech index using web crawler technology and word frequency analysis. The results show that the development of bank FinTech is faster in state-owned banks than in other banks. Moreover, among the five subareas of bank FinTech, the development of internet technology is ahead of artificial intelligence technology, blockchain technology, cloud computing technology, and big data technology. Then, the impacts of bank FinTech on credit risk are examined. We find that bank FinTech significantly reduces credit risk in Chinese commercial banks, and further analyses show that the negative effects of bank FinTech on credit risk are relatively weak among large banks, state-owned banks, and listed banks. © 2020 Elsevier B.V.",Article,2-s2.0-85089013293
